sch_cls,"(0,10]","(10,20]","(20,30]","(30,40]","(40,50]","(50,60]"
"(-1,0]",4,6,6,6,4,1
"(0,0.1]",5,6,4,5,3,2
"(0.1,0.2]",5,5,4,5,4,1
"(0.2,0.3]",5,5,5,4,4,1
"(0.3,0.4]",5,5,3,2,2,2
"(0.4,0.5]",4,6,3,2,4,2
"(0.5,0.6]",5,5,3,4,4,1
"(0.6,0.7]",5,5,1,3,4,1
"(0.7,0.8]",5,7,2,4,2,NA
"(0.8,0.9]",5,6,2,2,3,2
"(0.9,1]",10,12,3,2,4,1
